"","game_id","game_date","home_team","away_team","home_score","away_score","point_differential","season"
"1","1999_01_ARI_PHI",1999-09-12,"PHI","ARI",24,25,-1,"1999"
"2","1999_01_BUF_IND",1999-09-12,"IND","BUF",31,14,17,"1999"
"3","1999_01_CAR_NO",1999-09-12,"NO","CAR",19,10,9,"1999"
"4","1999_01_CIN_TEN",1999-09-12,"TEN","CIN",36,35,1,"1999"
"5","1999_01_DAL_WAS",1999-09-12,"WAS","DAL",35,41,-6,"1999"
"6","1999_01_DET_SEA",1999-09-12,"SEA","DET",20,28,-8,"1999"
"7","1999_01_KC_CHI",1999-09-12,"CHI","KC",20,17,3,"1999"
"8","1999_01_MIA_DEN",1999-09-13,"DEN","MIA",21,38,-17,"1999"
"9","1999_01_MIN_ATL",1999-09-12,"ATL","MIN",14,17,-3,"1999"
"10","1999_01_NE_NYJ",1999-09-12,"NYJ","NE",28,30,-2,"1999"
"11","1999_01_NYG_TB",1999-09-12,"TB","NYG",13,17,-4,"1999"
"12","1999_01_OAK_GB",1999-09-12,"GB","LV",28,24,4,"1999"
"13","1999_01_PIT_CLE",1999-09-12,"CLE","PIT",0,43,-43,"1999"
"14","1999_01_SF_JAX",1999-09-12,"JAX","SF",41,3,38,"1999"
"15","1999_02_ARI_MIA",1999-09-19,"MIA","ARI",19,16,3,"1999"
"16","1999_02_ATL_DAL",1999-09-20,"DAL","ATL",24,7,17,"1999"
"17","1999_02_CLE_TEN",1999-09-19,"TEN","CLE",26,9,17,"1999"
"18","1999_02_DEN_KC",1999-09-19,"KC","DEN",26,10,16,"1999"
"19","1999_02_GB_DET",1999-09-19,"DET","GB",23,15,8,"1999"
"20","1999_02_IND_NE",1999-09-19,"NE","IND",31,28,3,"1999"
"21","1999_02_JAX_CAR",1999-09-19,"CAR","JAX",20,22,-2,"1999"
"22","1999_02_NO_SF",1999-09-19,"SF","NO",28,21,7,"1999"
"23","1999_02_NYJ_BUF",1999-09-19,"BUF","NYJ",17,3,14,"1999"
"24","1999_02_OAK_MIN",1999-09-19,"MIN","LV",17,22,-5,"1999"
"25","1999_02_PIT_BAL",1999-09-19,"BAL","PIT",20,23,-3,"1999"
"26","1999_02_SD_CIN",1999-09-19,"CIN","LAC",7,34,-27,"1999"
"27","1999_02_SEA_CHI",1999-09-19,"CHI","SEA",13,14,-1,"1999"
"28","1999_02_TB_PHI",1999-09-19,"PHI","TB",5,19,-14,"1999"
"29","1999_02_WAS_NYG",1999-09-19,"NYG","WAS",21,50,-29,"1999"
"30","1999_03_ATL_STL",1999-09-26,"LA","ATL",35,7,28,"1999"
"31","1999_03_CHI_OAK",1999-09-26,"LV","CHI",24,17,7,"1999"
"32","1999_03_CIN_CAR",1999-09-26,"CAR","CIN",27,3,24,"1999"
"33","1999_03_CLE_BAL",1999-09-26,"BAL","CLE",17,10,7,"1999"
"34","1999_03_DEN_TB",1999-09-26,"TB","DEN",13,10,3,"1999"
"35","1999_03_DET_KC",1999-09-26,"KC","DET",31,21,10,"1999"
"36","1999_03_IND_SD",1999-09-26,"LAC","IND",19,27,-8,"1999"
"37","1999_03_MIN_GB",1999-09-26,"GB","MIN",23,20,3,"1999"
"38","1999_03_NYG_NE",1999-09-26,"NE","NYG",16,14,2,"1999"
"39","1999_03_PHI_BUF",1999-09-26,"BUF","PHI",26,0,26,"1999"
"40","1999_03_SEA_PIT",1999-09-26,"PIT","SEA",10,29,-19,"1999"
"41","1999_03_SF_ARI",1999-09-27,"ARI","SF",10,24,-14,"1999"
"42","1999_03_TEN_JAX",1999-09-26,"JAX","TEN",19,20,-1,"1999"
"43","1999_03_WAS_NYJ",1999-09-26,"NYJ","WAS",20,27,-7,"1999"
"44","1999_04_ARI_DAL",1999-10-03,"DAL","ARI",35,7,28,"1999"
"45","1999_04_BAL_ATL",1999-10-03,"ATL","BAL",13,19,-6,"1999"
"46","1999_04_BUF_MIA",1999-10-04,"MIA","BUF",18,23,-5,"1999"
"47","1999_04_CAR_WAS",1999-10-03,"WAS","CAR",38,36,2,"1999"
"48","1999_04_JAX_PIT",1999-10-03,"PIT","JAX",3,17,-14,"1999"
"49","1999_04_KC_SD",1999-10-03,"LAC","KC",21,14,7,"1999"
"50","1999_04_NE_CLE",1999-10-03,"CLE","NE",7,19,-12,"1999"
"51","1999_04_NO_CHI",1999-10-03,"CHI","NO",14,10,4,"1999"
"52","1999_04_NYJ_DEN",1999-10-03,"DEN","NYJ",13,21,-8,"1999"
"53","1999_04_OAK_SEA",1999-10-03,"SEA","LV",22,21,1,"1999"
"54","1999_04_PHI_NYG",1999-10-03,"NYG","PHI",16,15,1,"1999"
"55","1999_04_STL_CIN",1999-10-03,"CIN","LA",10,38,-28,"1999"
"56","1999_04_TB_MIN",1999-10-03,"MIN","TB",21,14,7,"1999"
"57","1999_04_TEN_SF",1999-10-03,"SF","TEN",24,22,2,"1999"
"58","1999_05_ATL_NO",1999-10-10,"NO","ATL",17,20,-3,"1999"
